questions,answers
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Consulter votre médecin,Le médecin pourra vous aider à ajuster votre insuline ou votre médication en fonction : du décalage horaire ;des activités prévues ;de la température. Il pourra également signer une lettre (idéalement dans la langue du pays de destination ou en anglais) attestant que vous êtes une personne vivant avec le diabète et que vous devez apporter avec vous votre médication et tout votre matériel d’injection et de mesure de la glycémie. Consultez nos exemples de lettre justificative en plusieurs langues dans «Ressources externes» en fin de page.
Consulter votre pharmacien,Le pharmacien pourra vous remettre : une liste à jour de votre médication ;le nom de vos médicaments et leur concentration dans le pays de destination au cas où vous devriez vous en procurer sur place.
Consulter votre nutritionniste,La nutritionniste pourra vous aider à modifier votre plan alimentaire en fonction : de votre horaire de repas en voyage ;des choix alimentaires disponibles à destination.
Quelques astuces,"Apportezdans votre bagage à maintoute votre médication et votre matériel de gestion de la glycémie.Apportez suffisamment d’insuline ou de médicaments antidiabétiques pour la durée du voyage, avec un supplément pour les imprévus.Apportez des collations avec vous (ex. : barres de céréales) en cas derepas retardés, de même que des sucres rapides (ex. : comprimés de glucose, sachets de sucre, etc.) pour traiter une hypoglycémie au besoin.Renseignez-vous au sujet des cliniques d’urgence à destination, ainsi que de l’emplacement de l’ambassade ou du consulat canadien.Ayez sur vous unbracelet ou un pendentif d’identificationde votre ou de vos maladies. En cas d’urgence, il pourrait vous sauver la vie.Mesurez votre glycémie plus souvent : vos habitudes (activités, repas, hydratation, sommeil) seront probablement différentes et influenceront votre glycémie et sa gestion. L’exposition au soleil et la température peuvent également jouer sur votre glycémie."
Conversation de l’insuline,"L’insuline ouverte peut supporter unetempérature ambiante(entre 0 °C et 30 °C) pendant environ un mois après ouverture. Ainsi, vous n’avez pas besoin de la maintenir au réfrigérateur en tout temps. Il faut cependant éviter les températures extrêmes. Pour l’insuline non ouverte ou en cas de situation particulière, il existe également des pochettes isothermes pour maintenir l’insuline au frais."
Les voyages en avion,"Les consignes de sécurité peuvent varier d’un pays à l’autre. Il est donc important de vous informer auprès de votre compagnie aérienne ou votre agent de voyage. Voici quelques lignes de conduite à suivre : Avertissez le personnel de la sécurité que vous vivez avec le diabète et que vous transportez du matériel médical dans vos bagages de cabine (montrez-leur la lettre justificative de votre médecin au besoin).Vos stylos et cartouches à insuline doivent avoir une étiquette officielle de votre pharmacie avec le nom de l’insuline et sa posologie.Vos médicaments sur ordonnance doivent porter les étiquettes de la pharmacie afin de bien les identifier.Vos lancettes doivent être munies de leur capuchon protecteur et votre lecteur de glycémie doit porter le nom de la compagnie qui le fabrique.Si vous portez une pompe à insuline ou un système de surveillance de la glycémie en continu, veuillez avertir le personnel de la sécurité que vous devez les conserver sur vous. Il est aussi préférable de ne pas passer sous le détecteur de métal complet, mais de vous prêter à l’inspection manuelle."
Les vaccins,"Une visite dans une clinique santé-voyage est un excellent moyen de mettre à jour vos vaccins, de recevoir les vaccins recommandés ainsi que des conseils adaptés à l’endroit visité. Sachez qu’aucun vaccin n’est contre-indiqué chez les personnes vivant avec le diabète, et que certains peuvent même vous être offerts gratuitement (ex. : vaccin antigrippal et vaccins contre le pneumocoque)."
La malaria,Certaines destinations requièrent une médication afin de prévenir la malaria. Celle-ci devra vous être prescrite après une évaluation des risques de contracter la malaria lors de votre séjour.
La diarrhée du voyageur,"Les infections causant la diarrhée du voyageur ont un effet important sur la glycémie, en raison de la déshydratation et de l’alimentation qui peut être perturbée. De plus, les personnes dont le diabète est mal contrôlé sont plus à risque d’infections et doivent redoubler de vigilance. Dans certains cas, des antibiotiques seront prescrits avant le départ. Avant votre départ, discutez avec votre équipe de soin des mesures à prendre pour la gestion de votre diabète pour les jours de maladie. Consultez notre ressource à ce sujet dans l’encadré « Ressources » et notre article sur lagastro-entérite."
Altitude,"L’altitude ne devrait pas être un obstacle au choix de la destination. La plupart des personnes qui vivent avec le diabète la supportent très bien. Par contre, il est important de vérifier l’état du matériel médical avant le départ et lors du séjour. Des défaillances peuvent survenir en altitude ou dans des conditions climatiques extrêmes, et rendre ainsi le contrôle du diabète difficile."
Assurance voyage,Consultez notre articleAcheter une assurance voyagepour en savoir plus sur le sujet.
Documents :,Lettre pour voyage en FrançaisLettre pour voyage en AnglaisLettre pour voyage en EspagnolLettre pour voyage en ItalienLettre pour voyage en Mandarin
À consulter aussi :,"Administration canadienne de la sûreté du transport aérien (ACSTA)  Transport Security Administration(États-Unis, en anglais seulement)"
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Critères d’admissibilité,"Ce sont des critères qui définissent si vous pouvez souscrire à une assurance ou non. Par exemple, voyager contre un avis médical est un critère de refus d’admissibilité. Tous les contrats d’assurance voyage contiennent des critères d’admissibilité, mais les conditionsvarient d’un assureur à un autre. Le diabète est rarement un critère de refus."
Questionnaire médical ou déclaration de santé,"Certaines compagnies d’assurance demandent de remplir un questionnaire médical tandis que d’autres non. Dans certains cas, la valeur de l’hémoglobine glyquée (A1C) peut être demandée afin de vérifier la gestion du diabète. Les primes pourront varier en fonction de cette dernière. Soyez transparentau moment de décrire votre état de santé actuel à l’assureur. Si vous ne l’êtes pas,vous risquez des refuslors d’une réclamation. Si vous avez de la difficulté à remplir le questionnaire, n’hésitez pas à demander de l’aide à votre médecin ou équipe traitante."
Critères de stabilité,"La majorité des compagnies d’assurance ne couvriront pas les dépenses s’il y a eu un changementrécentdans votrecondition ou traitement.Cette période peut varier de 7 à 365 jours selon les assurances. Voici des exemples de critères de stabilité : Maladie, blessure ou état de santé qui s’est déclarée dans les 3 mois précédant la date de départ ;Maladie pour laquelle la personne assurée a été hospitalisée dans les 3 mois précédant la prise d’effet de l’assurance ;Changement récent du nombre d’unités ou d’injections d’insuline journalière ;Changement récent du type d’insuline ou de médicaments pris, etc. C’est l’une des principales raisons pour lesquelles plusieurs personnes prennent le risque de ne pas être assurées en voyage. Attentioncependant,certains pays exigent une preuve d’assurance maladie à l’entrée. Informez-vous!"
Et l’assurance voyage de ma carte de crédit ?,"Nombreuses cartes de crédit offrent une protection assurance voyage. L’avantage de ces protections est qu’elles prennent en charge les soins médicaux d’urgence, mais également l’annulation voyage, les accidents, le vol ou la perte des bagages, et parfois même, l’assistance voyage. Chaque carte de crédit est différente. Ainsi, des conditions comme la durée de l’assurance, la présence de critères d’admissibilité ou de stabilité, ou même la présence d’une franchise pourraient varier selon votre carte de crédit. Sachez également que l’assurance voyage pourrait ne pas être inclus dans votre contrat et nécessiter des frais supplémentaires. Pour en savoir plus, contactez votre assureur ou lisez le contrat de votre carte de crédit."
Renseignez-vous auprès des spécialistes,"Pour être sûr de faire le bon choix, n’hésitez pas à contacter des personnes compétentes : Communiquez avec votre compagnie d’assurance afin de connaître les modalités de votre contrat avant de voyager.Communiquez avec différentes compagnies d’assurance afin de comparer et choisir la meilleure assurance pour vous.Faites affaire avec un professionnel spécialisé en assurance voyage."
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Type d’assurances,"Il existe différents types d’assurances: L’assurance de dommages, qui permet de couvrir les biens tels que l’automobile, la maison et le commerce, la responsabilité civile ou commerciale, etc.L’assurance collective de personnes, qui est offerte par un employeur à ses employés ou par un ordre professionnel à ses membres. Dépendamment du contrat, celui-ci peut couvrir le décès, l’invalidité, les soins médicaux, visuels ou dentaires, la maladie grave, l’assurance voyage, etc.L’assurance de personnes, qui établit un contrat entre un individu (preneur ou assuré) et une compagnie d’assurance (assureur) qui accepte de couvrir certains risques tel le décès, l’invalidité, la maladie grave, les frais médicaux, les accidents ou la maladie en voyage à l’extérieur de la province, etc."
Assurance de personnes,"La plupart des personnes vivant avec le diabète s’interrogent principalement lorsqu’il est question d’assurance de personnes. Le contrat en assurance de personnes est un contrat unilatéral entre l’assuré et la compagnie d’assurance. C’est-à-dire qu’une fois le contrat établi, seul l’assuré peut y apporter des modifications. La compagnie se réserve toutefois le droit de choisir ses clients selon son évaluation du risque. Pour un individu, le fait qu’il soit diabétique ne veut pas nécessairement dire qu’il sera refusé pour une assurance de personnes. Effectivement, l’assureur pourrait l’accepter avec les conditions standards ou avec une prime supplémentaire, dépendamment du risque que représente le client selon l’évaluation de son dossier par les spécialistes de la compagnie. Il est aussi important de comprendre que le diabète seul n’est pas nécessairement une cause de refus, mais que c’est plutôt l’addition des facteurs tels le surplus de poids, l’hypertension artérielle, un taux de cholestérol hors norme, les maladies cardiovasculaires et autres, qui peuvent en devenir une. Quelques assureurs ont mis en place des contrats d’assurance qui permettent une sélection assouplie et couvrent les personnes qui seraient plus difficilement assurables par un contrat standard. Ces produits sont plus chers au départ, mais les questions pour y adhérer sont moins sélectives. Aucun de ces contrats n’est prévu exclusivement pour les personnes diabétiques, mais plutôt pour les personnes plus difficilement assurables pour diverses raisons. En résumé, pour bénéficier d’une assurance vie, invalidité ou maladie grave, il n’existe pas de produit exclusif pour les personnes diabétiques. Il est donc important de rencontrer un professionnel certifié et accrédité par l’Autorité des marchés financiers, qui fera une analyse des besoins et posera les questions nécessaires afin d’offrir au client, si possible, le produit approprié selon son état de santé global."
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Qu’est-ce que le Ramadan ?,"Le Ramadan, l’un des cinq piliers de la religion islamique, est un mois saint durant lequel le jeûne doit être observé du lever au coucher du soleil. Il correspond au 9e mois du calendrier musulman. Ce calendrier étant lunaire, la période de Ramadan varie à chaque année, tout comme les heures d’abstinence."
Les personnes vivant avec le diabète sont exemptées,"Selon le Coran, le diabète fait partie des situations pouvant permettre l’exemption du jeûne étant donné les risques associés. Le jeûne est d’ailleurs déconseillé aux personnes vivant avec le diabète. Malgré tout, le fait de pratiquer ou non le Ramadan demeure un choix personnel."
Jeûne et diabète : une combinaison présentant des risques,"Les principaux risques associés au jeûne sont : l’hypoglycémie, l’hyperglycémie, la cétose diabétique (présence de corps cétoniques dans le sang) et la déshydratation. Les personnes vivant avec le diabète traitées avec de l’insuline ou des sécrétagogues d’insuline* sont particulièrement à risque. Il en va de même pour les personnes ayant un contrôle inadéquat de la glycémie, celles présentant des épisodes d’hypoglycémie fréquents et/ou ayant eu un épisode d’hypoglycémie sévère dans les 3 derniers mois et celles ne ressentant plus les symptômes d’hypoglycémie. La présence de complications et de maladies aigües ainsi que certaines situations particulières (ex. : métier physique) accroissent aussi les risques associés au jeûne. *gliclazide (DiamicronMDet Diamicron MRMD), glimépiride (AmarylMD), glyburide (DiabetaMD), répaglinide (GlucoNormMD). Afin que le jeûne soit fait en toute sécurité, il est primordial de le planifier avec son médecin."
Points à revoir avec son médecin,L’état de santé général;Le contrôle du diabète;Les risques du jeûne;La médication;La surveillance de la glycémie.
Maintenir de saines habitudes de vie,"Au-delà du jeûne quotidien, le Ramadan entraîne une perturbation drastique des habitudes de vie, particulièrement en lien avec l’alimentation et l’horaire de sommeil. Ces changements affectent de façon importante la gestion de la maladie et certains conseils sont de mise."
Lorsque le jeûne est rompu :,"Garder un horaire stable pour les repas.Éviter le grignotage continu.Consommer desrepas équilibrés.Boire beaucoup d’eau.Lors du Sahour (repas avant le lever du soleil), privilégier les aliments contenant des glucides à absorption lente (harira, semoule, haricots, pain, riz, dhal).Lors de l’Iftar (repas à la rupture du jeûne), débuter par des aliments contenant des glucides à absorption rapide (fruits, dattes) puis consommer des aliments contenant des glucides à absorption lente."
En tout temps :,"Éviter les activités physiques d’intensité élevée.Mesurer la glycémie fréquemment.Si un problème survient, consulter un médecin."
Rompre le jeûne,"Une personne vivant avec le diabète qui décide de pratiquer le jeûne du Ramadan doit savoir que certaines situations pourraient l’obliger à rompre le jeûne. C’est le cas si unehypoglycémie(glycémie en bas de 4,0 mmol/L) ou unehyperglycémieimportante (glycémie en haut de 16,5 mmol/L) surviennent. Pour télécharger une version en arabe de ce texte,cliquez ici."
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
Les risques et complications possibles,"Les femmes diabétiques sont plus à risque de fausse-couche ou d’avoir un bébé avec des malformations congénitales (malformations cardiaques et rénales par exemple). Ce risque augmente considérablement si le contrôle de la glycémie n’est pas optimal, surtout au moment de la conception et durant les 3 premiers mois de la grossesse, moment où se forment les organes du bébé. En cas de glycémies mal contrôlées, il est fortement conseillé de retarder la grossesse. Votre équipe de soins pourra vous aider dans votre démarche pour améliorer le contrôle de votre glycémie. Une glycémie mal contrôlée présente de nombreux risques pour la mère et le bébé."
Les risques pour la mère :,Fausse-coucheAggravation rapide de la rétinopathie (dommages à la rétine causés par le diabète)Aggravation rapide de la néphropathie (dommages aux reins causés par le diabète) et de l’insuffisance rénaleAccouchement vaginal plus difficile (à cause du poids du bébé) nécessitant des manœuvres spéciales par l’obstétricien ou l’utilisation de forceps ou de ventousesAccouchement par césarienneHypertension de grossesse et pré-éclampsie (complication de la grossesse caractérisée par une tension artérielle élevée et de l’enflure importante)Surplus de liquide amniotique qui peut provoquer un accouchement prématuré
Les risques pour le bébé :,"Présence de malformations (surtout si le diabète est mal contrôlé durant les trois premiers mois de la grossesse) au niveau du développement du cœur, des reins et de l’appareil uro-génital, du cerveau, de la moelle épinière et du squelette de l’enfantPoids plus élevé que la moyenne à la naissance (poids supérieur à 4 kg ou 9 livres) ou parfois, au contraire, un retard de croissance et un petit poids à la naissanceNaissance prématuréeDifficultés respiratoires à la naissance liées, entre autres, à un retard de la maturation des poumonsHypoglycémie à la naissance, d’autant plus importante si le diabète a été mal équilibré dans les jours/semaines qui ont précédé l’accouchementJaunisseCarence en calcium dans le sang à la naissanceAnomalie de la production des globules rouges (polyglobulie ou hyperviscosité sanguine)Mort périnatale Toutes ces complications s’observent presque exclusivement lorsque le diabète n’est pas bien contrôlé. Avec l’intensification du traitement des femmes diabétiques, la mortalité des nouveau-nés a considérablement diminuée, mais elle reste légèrement plus élevée dans les groupes de femmes avec un mauvais contrôle du diabète, surtout s’il y a des épisodes de cétose ou d’acidocétose, ou de l’hypertension durant la grossesse."
Pour limiter les risques,"Un contrôle glycémique strict depuis la période préconceptionnelle jusqu’à l’accouchement et un suivi rigoureux par une équipe multidisciplinaire dans un centre spécialisé permettent de diminuer grandement la plupart de ces risques. Il est conseillé aux femmes diabétiques qui souhaitent avoir un enfant de maintenir une hémoglobine glyquée (A1C) sous la barre du 7,0 % (et même inférieur à 6,5 % lorsque possible) pour réduire les risques de complications et de malformations. Cela peut paraître un défi de taille, mais il est atteignable. Si vous ne réussissez pas à atteindre cet objectif, sachez qu’une diminution de l’A1C, quelle qu’elle soit, améliore les chances d’avoir un bébé en santé. Attention, les femmes ayant une A1C au-dessus de 10,0 % doivent sérieusement songer à retarder la grossesse jusqu’à ce que les cibles de glycémie soient atteintes. Pour vous aider à y parvenir, votre médecin vous proposera peut-être d’augmenter ou de modifier votre traitement actuel. Chez certaines femmes avec un diabète de type 2, il est parfois conseillé de débuter l’insuline avant le début de la grossesse pour assurer un meilleur contrôle de la glycémie. Il faut savoir qu’un contrôle plus serré de la glycémie avec la médication antidiabétique ou l’insuline peut augmenter les risques d’hypoglycémie. En somme, les femmes diabétiques qui planifient une grossesse et qui ont besoin de médication antidiabétique ou d’insuline doivent surveiller plus fréquemment leur glycémie afin d’éviter les hyperglycémies et les hypoglycémies. Il est aussi conseillé aux femmes diabétiques de type 1 de faire des tests de corps cétoniques urinaires ou sanguins lorsque leur glycémie est très élevée pendant plusieurs heures. Consultez votre professionnel de la santé pour la procédure à suivre pour ce test."
L’atteinte d’un poids santé,"Les femmes qui ont un surplus de poids sont plus à risque d’avoir des problèmes de fertilité et des complications lors de la grossesse. Avant la grossesse, toutes les femmes avec un surpoids devraient essayer d’atteindre unpoids santé(soit un IMC entre 18,5 et 25), tout particulièrement celles qui sont diabétiques de type 2. Une perte d’environ 10 % du poids à un rythme lent et graduel permet déjà, même si le poids santé n’est pas atteint, d’avoir un impact positif sur la fertilité et de limiter les complications à l’accouchement. Il est conseillé aux femmes en surpoids d’obtenir les conseils d’un ou d’une diététiste-nutritionniste et d’un kinésiologue pour perdre du poids et augmenter la pratique d’activité physique."
Les soins des yeux et des reins,"Les personnes diabétiques sont à risque de développer des complications aux yeux et aux reins, et ces risques augmentent durant la grossesse. C’est pour cette raison que les femmes diabétiques souhaitant être enceintes devraient subir un examen des yeux et une évaluation de la fonction rénale avant la conception. Il est recommandé de consulter votre ophtalmologiste ou optométriste si vous n’avez pas eu d’examen visuel dans les six derniers mois. Si vous souffrez de complications aux yeux ou aux reins, elles doivent être traitées et contrôlées avant la conception afin d’éviter qu’elles ne s’aggravent. Avant la grossesse, il est aussi important que l’hypertension soit bien contrôlée. L’hypertension cause une augmentation de la pression dans les petits vaisseaux sanguins des yeux et des reins, ce qui les rend fragiles. L’hypertension peut aussi avoir un impact négatif sur le développement du placenta durant la grossesse et occasionner des complications."
L’acide folique,"L’acide folique (folate) est une vitamine très importante pour la prévention des malformations au cerveau et à la colonne vertébrale du bébé (spina bifida). La plupart des femmes comblent leurs besoins quotidiens en acide folique par une alimentation variée. On retrouve de l’acide folique dans les légumes verts feuillus, les fruits, les noix, le pain et les céréales. Malgré une alimentation équilibrée, il est recommandé à toutes les femmes diabétiques qui veulent un enfant de débuter la prise d’un supplément de 1 mg par jour d’acide folique, au moins 3 mois avant la conception, et de poursuivre la prise de ce supplément pendant minimalement les 3 premiers mois de grossesse. Consultez votre pharmacien pour des conseils sur la prise d’un supplément en acide folique. _______________________________________________________________ Rédaction :Équipe de professionnels de la santé de Diabète Québec Extrait de :Diabète Québec. (2013) Diabète et grossesse.Disponible dans la boutique. Autre référence :Feig D, Berger H, Donovan L et al. Diabetes Canada 2018 Clinical Practice Guidelines for the Prevention and Management of Diabetes in Canada: Diabetes and Pregnancy. Can J Diabetes 2018; 42 (Suppl 1): S255-S282. Dernière mise à jour: Juillet 2018 ©Tous droits réservés Diabète Québec"
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
L’impact des hormones sur la gestion du diabète,"Les changements hormonaux de la puberté influencent le contrôle de la glycémie, le rendant souvent plus difficile. L’action de l’insuline diminue d’environ 30 à 50% en raison des hormones de croissance et des hormones sexuelles qui créent une résistance à l’insuline.  Chez l’enfant non diabétique, le pancréas compense cette résistance en sécrétant plus d’insuline. Chez la majorité des adolescents diabétiques, il faudra constamment ajuster les doses d’insuline injectée pour maintenir un contrôle adéquat de la glycémie. À la fin de la puberté, les besoins redeviennent habituellement semblables à ce qu’ils étaient avant celle-ci. L’effet de ces hormones est parfois plus marqué vers la fin de la nuit. Ainsi, on remarquera souvent en premier lieu que la glycémie du matin est anormalement élevée."
Les menstruations,"Chez certaines femmes diabétiques, la glycémie varie au cours du cycle menstruel, un effet également attribuable aux hormones. Plusieurs remarquent une hausse de la glycémie quelques jours avant les menstruations et une baisse lors des premiers jours des menstruations, les rendant plus sujettes aux hypoglycémies."
Les changements comportementaux et sociaux,"L’adolescence est aussi synonyme de changements dans les comportements et dans les relations sociales de l’enfant. La recherche d’autonomie, l’influence des amis, entre autres, sur les comportements alimentaires et la pratique d’activité physique, une plus grande préoccupation face à son image corporelle, de même que des préoccupations par rapport au diabète, sont des éléments qui façonnent les comportements de l’adolescent. Ils peuvent avoir une influence sur l’adhérence au traitement et sur le contrôle de la glycémie. Du point de vue alimentaire, l’appétit est généralement augmenté puisque les besoins en énergie sont accrus pour la croissance. De plus, les repas à l’extérieur avec les amis peuvent influencer les choix alimentaires. Le plan d’alimentation doit être ajusté avec le ou la diététiste/nutritionniste, en parallèle avec l’ajustement des doses d’insuline."
Pour une transition harmonieuse,"Évidemment, une rencontre avec l’équipe de soins s’impose au moment de la puberté. Il est pertinent d’impliquer le jeune dans les ajustements du traitement et qu’il participe activement aux rencontres avec les professionnels de la santé. Le jeune diabétique acquiert de l’autonomie, mais il ne faut pas oublier que le support et l’écoute des parents demeurent essentiels lors de cette période de transition. ___________________________________________________________________ Recherche et rédaction :Équipe de professionnels de la santé de Diabète Québec Révision scientifique :Caroline Boucher, inf. clinicienne, clinique du diabète du CHU Sainte-Justine Août 2014 (mise à jour janvier 2019) © Tous droits réservés Diabète Québec Références : Geoffroy L. et Gonthier M. (2012). Être adolescent et… diabétique. Dans Le diabète chez l’enfant et l’adolescent, 2e édition. Montréal : Éditions du CHU Ste-Justine, p.451-465 Tfayli Hala et Arslanian Silva. (2007). Le défi de l’adolescence : changements hormonaux et sensibilité à l’insuline  [En ligne]. Repéré à http://www.idf.org/diabetesvoice/articles/le-defi-de-ladolescence-changements-hormonaux-et-sensibilite-a-linsuline (page consultée le 5 août 2014)"
Inscrivez-vous à l'infolettre,Restez informé(e) de nos nouvelles et activités. Abonnez-vous
L’alimentation de la personne vivant avec le diabète,"     L’alimentation est un des piliers du traitement du diabète de type 2 et fait partie intégrante de la gestion du diabète de type 1. Les recommandations alimentaires pour la personne qui vit avec le diabète sont semblables à celles pour la population en général.   Aucun aliment n’est interdit!       Conseils de base   Cuisinez le plus souvent possible à partir d’aliments frais et peu transformés. Mangez une grande variété d’aliments. Prenez le temps de savourer ce que vous mangez. Écoutez et respectez vos signaux de faim et de satiété. Consommez trois repas par jour à des heures régulières. Évitez de sauter un repas Au besoin, consommez une collation nutritive pour combler la faim entre les repas, combler vos besoins nutritionnels ou prévenir une hypoglycémie, s’il y a lieu. Privilégiez les aliments riches en fibres : produits céréaliers à grains entiers, légumineuses, fruits et légumes entiers avec la pelure, noix et graines. Privilégiez les aliments faibles en sodium (sel). Portez une attention sur la quantité et la qualité des glucides consommés, tout en vous assurant de bien les répartir tout au long de la journée. Les aliments dans les sections jaunes de l’assiette équilibrée sont des sources de glucides qui font augmenter la glycémie. Lisez notre article sur les glucides pour en savoir plus.    La plupart des personnes ont besoin de 45 à 75 g de glucides par repas et 15 à 30 g de glucides par collation, si nécessaire.   Vidéo: Alimentation et diabète – Comment bien démarrer?   Inspirez-vous de l’assiette équilibrée pour vos repas!   Assiette équilibrée extraite du Coup d’oeil sur l’alimentation de la personne vivant avec le diabète. MSSS. 2022.        LÉGUMES  La moitié de votre assiette devrait être composée de légumes.  Assurez-vous de consommer une variété de légumes. Consultez notre article sur les légumes pour en savoir plus.  FÉCULENTS  Le quart de votre assiette devrait être composé de féculents.  Privilégiez les grains entiers et les produits céréaliers à grains entiers qui contiennent plus de fibres. Consultez notre article sur les féculents pour en savoir plus.  ALIMENTS PROTÉINÉS  Le quart de votre assiette devrait être composé d’aliments protéinés.  Privilégiez les aliments protéinés d’origine végétale (par exemple, tofu, légumineuses) et le poisson. Consultez notre article sur les protéines pour en savoir plus.  FRUITS  Les fruits peuvent être consommés en dessert ou en collation. Consommez les fruits entiers avec la pelure. Consultez notre article sur les fruits pour en savoir plus.  HYDRATATION  L’eau est la boisson idéale pour s’hydrater. L’eau gazéifiée, les eaux aromatisées maison, les tisanes, les thés et le café non sucrés sont aussi des choix intéressants.  MATIÈRES GRASSES  Privilégiez les gras monoinsaturés et polyinsaturés, qui sont favorables pour la santé du coeur, tels que l’huile d’olive, l’huile de canola, les noix et les graines, les poissons gras et les avocats. Consultez notre article sur les matières grasses pour en savoir plus.  Comment un ou une diététiste-nutritionniste peut vous aider? Une rencontre avec un ou une diététiste-nutritionniste vous permettra d’obtenir des conseils personnalisés. Il est démontré qu’un suivi nutritionnel avec un ou une diététiste-nutritionniste peut, à lui seul, permettre de réduire le taux d’hémoglobine glyquée (A1C) de 1 à 2 %.  Des ressources pour vous aider Documents  Section Alimentation du Guide pratique pour la gestion du diabète de type 2 Coup d’œil sur l’alimentation de la personne vivant avec le diabète  Ressources externes  Découvrez les aliments par Les diététistes du Canada Guide alimentaire canadien   Recherche et rédaction: Équipe de professionnelles de la santé de Diabète Québec "
